,2022,2023,2024,Delta 2023,Delta 2024,% Growth 2023,% Growth 2024,NGR 2023,NGR 2024,PGR 2023,PGR 2024,Market Share 2022,Market Share 2023,Market Share 2024,MSGR 2023,MSGR 2024,Market Share Trend,Market Share 2025 (Projected),2025 Prediction,Market Share 2025 (Predicted)
393,0,6319,12531,6319,6212,,98.31,,5.36,0.000448,0.001049,0.0,0.02,0.03,,67.35,Stable/Minimal Change,0.05,Possibly Obsolete ⚠️,0.05
430,0,9655,17987,9655,8332,,86.3,,4.71,0.000684,0.001407,0.0,0.03,0.05,,57.53,Stable/Minimal Change,0.07,Possibly Obsolete ⚠️,0.08
800,15014,40156,44144,25142,3988,167.46,9.93,2.16,0.54,0.001782,0.000673,0.08,0.12,0.12,50.67,-7.08,Gained then Declined ⚠️,0.11,Possibly Obsolete ⚠️,0.15
820,4339,13166,10466,8827,-2700,203.43,-20.51,2.62,-1.12,0.000626,-0.000456,0.02,0.04,0.03,70.71,-32.84,Gained then Declined ⚠️,0.02,Possibly Obsolete ⚠️,0.04
1024,189553,217373,174255,27820,-43118,14.68,-19.84,0.19,-1.08,0.001972,-0.00728,1.04,0.67,0.46,-35.42,-32.26,Consistently Losing 📉,0.31,Possibly Obsolete ⚠️,0.14
1280,1461057,2304792,2589481,843735,284689,57.75,12.35,0.74,0.67,0.059802,0.048068,8.03,7.14,6.78,-11.16,-5.06,Consistently Losing 📉,6.43,Future Dominant 📈,6.07
1366,745795,981451,878475,235656,-102976,31.6,-10.49,0.41,-0.57,0.016703,-0.017387,4.1,3.04,2.3,-25.89,-24.36,Consistently Losing 📉,1.74,Future Dominant 📈,1.35
1440,516046,752418,731938,236372,-20480,45.8,-2.72,0.59,-0.15,0.016753,-0.003458,2.84,2.33,1.92,-17.89,-17.8,Consistently Losing 📉,1.57,Future Dominant 📈,1.44
1470,3579,38330,72430,34751,34100,970.97,88.96,12.52,4.85,0.002463,0.005758,0.02,0.12,0.19,502.54,59.650000000000006,Consistently Gaining 🚀,0.3,Stable/Uncertain 🔄,0.28
1477,3509,8305,10249,4796,1944,136.68,23.41,1.76,1.28,0.00034,0.000328,0.02,0.03,0.03,33.160000000000004,4.279999999999999,Consistently Gaining 🚀,0.03,Possibly Obsolete ⚠️,0.04
