Screen Width,Browser Window Width,Session Count
1920,1920,"12,378,480"
1536,1536,"2,398,630"
1280,1280,"1,366,701"
1920,1904,"1,132,743"
1920,1872,"1,000,860"
1920,1865,"988,175"
1366,1366,"641,498"
1920,2133,"571,950"
1440,1440,"552,376"
1680,1680,"534,110"
1600,1600,"517,342"
1920,1873,"489,107"
2560,2560,"458,261"
1920,1863,"382,715"
1920,1912,"368,386"
1920,1745,"306,731"
1920,2400,"254,709"
1536,1522,"214,032"
1536,1488,"201,317"
1536,1482,"198,895"
1920,1536,"195,165"
1920,1720,"178,877"
2048,2048,"158,091"
1536,1920,"147,347"
1536,1707,"132,317"
1920,2560,"129,886"
1024,1004,"122,886"
1280,1225,"104,687"
1280,1232,"99,566"
1280,1266,"98,618"
1536,1490,"96,807"
1280,1422,"85,767"
1280,1600,"84,791"
1536,1528,"80,976"
1536,1479,"79,706"
1707,1707,"76,147"
1504,1504,"66,696"
1280,1920,"65,551"
1280,1272,"61,682"
1368,1368,"60,964"
1920,1280,"60,754"
1680,1664,"56,146"
1536,1396,"56,064"
1280,1233,"55,142"
1920,1482,"54,238"
1920,958,"53,955"
1024,1024,"51,073"
1600,1584,"49,384"
1280,1707,"49,226"
1536,2048,"49,216"
1920,1024,"49,073"
1920,2115,"47,525"
1366,1350,"46,257"
1366,1311,"45,565"
1360,1360,"45,224"
1920,1478,"45,096"
2560,1278,"44,959"
1980,1980,"44,487"
1280,1223,"44,261"
3440,1718,"44,044"
1680,1625,"43,786"
1344,1344,"43,744"
1366,1517,"42,632"
1680,1632,"40,241"
1920,2072,"39,247"
1920,2880,"37,742"
1366,1318,"37,707"
1280,1264,"36,467"
1512,1512,"36,183"
1728,1728,"35,933"
1920,1825,"35,197"
1600,1552,"34,681"
1470,1470,"34,665"
3440,3440,"34,337"
1920,2080,"34,010"
2560,2512,"33,905"
1600,1545,"33,896"
2560,2505,"33,637"
1920,1731,"29,491"
1366,1707,"28,898"
2560,2544,"28,580"
1920,1858,"28,342"
390,390,"28,134"
1366,1358,"27,524"
1664,1664,"26,984"
1366,1319,"25,988"
1920,952,"25,631"
1024,1366,"25,111"
1746,1746,"24,975"
1440,1424,"24,410"
1920,1702,"24,406"
1920,1817,"23,840"
1920,1695,"23,027"
1680,1633,"22,851"
1920,1440,"22,614"
1792,1792,"22,406"
2195,2195,"22,377"
1920,1523,"22,296"
1500,1500,"21,650"
1600,1553,"21,328"
1920,2124,"21,097"
1920,1565,"20,845"
1600,1777,"20,680"
1600,1601,"20,628"
1920,1498,"20,507"
2560,2844,"20,430"
1536,2304,"20,150"
1920,2081,"20,113"
1920,1520,"20,028"
1440,1392,"19,738"
1680,1866,"19,540"
800,1920,"19,533"
1366,1309,"19,013"
1440,1324,"18,547"
2240,2240,"18,497"
3840,1918,"18,280"
1600,1592,"17,789"
1536,1340,"17,768"
1440,1385,"17,514"
1536,1229,"17,397"
1920,1486,"17,333"
1680,1623,"16,892"
1366,1242,"16,890"
1920,2380,"16,669"
1680,1672,"16,559"
1920,2070,"16,388"
1920,2331,"16,385"
1280,1163,"16,384"
1715,1715,"16,269"
1536,1024,"16,212"
1366,1821,"16,162"
2560,1280,"15,825"
428,428,"15,774"
1920,2340,"15,560"
1920,929,"15,529"
1920,960,"15,199"
414,414,"15,146"
1152,1152,"14,824"
1920,1476,"14,699"
2560,2327,"14,695"
1920,658,"14,434"
1600,1543,"14,316"
1920,1492,"14,122"
2144,2144,"14,110"
1280,1050,"14,046"
2560,2513,"13,927"
1920,1738,"13,728"
1920,1264,"13,726"
1098,1098,"13,689"
768,1024,"13,666"
375,375,"13,443"
1920,1703,"13,244"
1537,1536,"13,234"
1920,1533,"13,159"
1685,1685,"13,145"
1680,2100,"13,022"
1739,1740,"12,833"
1440,1600,"12,321"
1440,1432,"12,139"
1366,2049,"12,047"
1280,1024,"11,900"
1080,1080,"11,851"
1600,1455,"11,800"
2560,2503,"11,793"
2752,2752,"11,756"
2048,2000,"11,751"
1920,1911,"11,714"
800,800,"11,634"
1760,1760,"11,542"
1920,1526,"11,455"
1920,1815,"11,439"
1920,1857,"11,257"
1920,1902,"11,218"
1920,1884,"11,127"
1278,1278,"11,011"
1920,1722,"10,910"
1440,1393,"10,805"
1920,1680,"10,788"
1920,1694,"10,600"
810,1080,"10,582"
1920,1908,"10,547"
834,1194,"10,544"
1024,1114,"10,526"
1280,2560,"10,496"
360,360,"10,468"
2560,2048,"10,297"
2400,2400,"10,276"
1920,1366,"10,215"
1680,1527,"10,021"
1536,1692,"9,893"
412,412,"9,884"
2048,1994,"9,815"
1676,1676,"9,788"
820,1180,"9,764"
1829,1830,"9,743"
1536,1474,"9,723"
2560,2552,"9,671"
430,430,"9,655"
1536,1653,"9,654"
2048,2276,"9,505"
2560,1920,"9,490"
1920,2341,"9,455"
1536,1646,"9,364"
1920,2496,"9,275"
1463,1463,"9,271"
1920,2538,"9,240"
1620,1620,"9,180"
1920,2390,"9,161"
1536,1442,"9,143"
1920,1842,"9,113"
1762,1762,"8,999"
1920,1600,"8,997"
800,1366,"8,989"
2048,2034,"8,982"
1920,1530,"8,970"
1440,1199,"8,959"
1600,2000,"8,648"
1440,1920,"8,617"
1920,2486,"8,530"
2560,3200,"8,516"
1670,1670,"8,371"
1280,1407,"8,323"
1504,1449,"8,312"
1477,1478,"8,305"
1920,1490,"8,303"
1920,1856,"8,219"
1504,1456,"8,197"
1920,1488,"8,185"
3440,3424,"8,173"
1920,1350,"8,075"
1920,1849,"8,047"
1366,1920,"8,024"
1440,1264,"8,014"
1440,1383,"7,985"
1440,1439,"7,937"
1440,1800,"7,913"
2294,2294,"7,886"
1440,1420,"7,880"
1229,1229,"7,778"
1603,1604,"7,719"
1920,1916,"7,663"
1920,1707,"7,649"
1920,1726,"7,644"
1920,1918,"7,613"
1536,1336,"7,588"
1920,1197,"7,584"
1920,1868,"7,521"
1920,1064,"7,479"
2048,2560,"7,477"
1920,1512,"7,342"
1847,1847,"7,328"
1280,1582,"7,239"
1423,1424,"7,224"
1865,1865,"7,173"
1920,1277,"7,128"
2560,2360,"7,114"
1707,1659,"7,044"
2561,2560,"7,017"
1281,1280,"6,971"
1536,1520,"6,959"
1397,1397,"6,819"
1536,1524,"6,817"
1536,1434,"6,815"
1920,1718,"6,809"
1600,1280,"6,759"
1600,1400,"6,752"
1536,1481,"6,736"
1920,1919,"6,681"
1280,1706,"6,669"
1920,2328,"6,608"
2560,1264,"6,597"
1120,1120,"6,523"
1920,1522,"6,515"
1920,1564,"6,498"
1920,1269,"6,496"
1920,1900,"6,459"
1536,1538,"6,455"
1536,1540,"6,454"
1280,1361,"6,437"
1680,2240,"6,359"
393,393,"6,319"
1680,1344,"6,314"
1628,1629,"6,277"
1680,1480,"6,260"
1920,1704,"6,222"
1536,1098,"6,204"
1920,1821,"6,199"
1372,1372,"6,175"
1707,1652,"6,172"
1920,1827,"6,171"
1920,1504,"6,131"
1368,1313,"6,123"
2560,2546,"6,042"
1280,1088,"5,974"
1600,2133,"5,957"
1642,1643,"5,948"
1920,1324,"5,918"
1536,1860,"5,907"
1812,1812,"5,880"
1536,767,"5,869"
1344,1330,"5,856"
1504,1490,"5,730"
1920,1200,"5,725"
1680,1920,"5,704"
1920,1422,"5,689"
1920,936,"5,657"
1920,1664,"5,641"
768,768,"5,629"
1280,1268,"5,626"
1440,1200,"5,589"
1920,1728,"5,574"
1536,1852,"5,569"
1536,1526,"5,567"
1920,1880,"5,555"
1920,1517,"5,552"
1883,1883,"5,548"
1700,1700,"5,492"
1536,1094,"5,476"
1366,1166,"5,446"
1920,1248,"5,442"
2560,1279,"5,427"
1536,1903,"5,419"
3440,1720,"5,378"
1920,1243,"5,354"
1920,1278,"5,352"
1920,1034,"5,332"
1730,1731,"5,331"
2560,3413,"5,301"
1280,1218,"5,296"
1920,1376,"5,285"
1536,1384,"5,242"
1440,1309,"5,223"
1614,1614,"5,202"
1708,1707,"5,183"
1290,1290,"5,125"
1920,1877,"5,061"
1418,1418,"5,056"
3840,3840,"5,051"
1280,1413,"5,039"
1463,1464,"5,017"
1920,1424,"4,961"
1795,1795,"4,911"
1778,1779,"4,910"
1920,1896,"4,880"
1920,1907,"4,871"
1740,1740,"4,862"
1368,1320,"4,860"
1920,1679,"4,837"
1920,1470,"4,812"
1200,1200,"4,799"
2049,2048,"4,795"
1920,2549,"4,761"
1920,1097,"4,757"
1696,1696,"4,750"
1280,1540,"4,743"
1639,1639,"4,720"
2048,2040,"4,655"
2560,1420,"4,643"
1536,1458,"4,637"
1920,1852,"4,623"
1536,1706,"4,608"
1920,1719,"4,605"
1920,1829,"4,601"
1536,1698,"4,580"
1440,1438,"4,567"
1920,1810,"4,547"
834,1112,"4,484"
384,384,"4,456"
1280,1164,"4,455"
1710,1710,"4,451"
1489,1489,"4,445"
320,320,"4,403"
1920,2497,"4,401"
1334,1334,"4,394"
1920,1284,"4,392"
1920,1803,"4,385"
1280,1634,"4,334"
1920,1811,"4,330"
1440,1240,"4,327"
1920,1435,"4,318"
1920,1396,"4,311"
1280,1688,"4,310"
1920,1225,"4,303"
1920,1524,"4,284"
1920,1906,"4,283"
1920,1266,"4,279"
1536,1489,"4,268"
1280,1369,"4,263"
1920,1437,"4,246"
1920,1465,"4,206"
1366,800,"4,205"
1536,1530,"4,196"
1549,1549,"4,177"
1280,1696,"4,177"
1574,1575,"4,156"
1920,1903,"4,151"
1280,1185,"4,151"
1512,1513,"4,130"
2048,1862,"4,128"
2048,2002,"4,123"
1408,1408,"4,100"
1920,1847,"4,098"
1024,1008,"4,089"
1920,1684,"4,079"
2560,1440,"4,070"
1920,1272,"4,068"
1475,1475,"4,058"
1536,2133,"4,050"
1920,1479,"4,040"
1920,1848,"4,007"
1536,2560,"4,005"
1920,1232,"3,999"
1504,1457,"3,997"
1280,1532,"3,963"
1920,1841,"3,927"
1920,1430,"3,926"
1920,1836,"3,920"
1920,1472,"3,899"
2048,1991,"3,892"
1600,1920,"3,890"
1440,1435,"3,882"
1280,1590,"3,879"
1536,1872,"3,871"
1536,1865,"3,866"
1920,1344,"3,862"
1920,1242,"3,858"
1920,1850,"3,857"
1920,1809,"3,853"
1536,1904,"3,835"
1280,1899,"3,833"
1494,1494,"3,827"
1536,1975,"3,816"
1920,903,"3,809"
5120,2558,"3,807"
1536,1984,"3,780"
1920,1706,"3,780"
1920,1368,"3,773"
1348,1348,"3,773"
1920,1270,"3,769"
1536,1910,"3,762"
1536,1280,"3,759"
1920,1584,"3,757"
1536,1655,"3,749"
1920,1792,"3,749"
1920,1384,"3,748"
1920,1854,"3,744"
1920,1653,"3,742"
1920,1621,"3,741"
810,810,"3,733"
1220,1220,"3,718"
1220,1220,"3,718"
1920,1428,"3,710"
1920,1404,"3,702"
1920,1416,"3,697"
2560,1223,"3,694"
1024,1280,"3,688"
1440,1427,"3,675"
1920,1888,"3,675"
1920,1249,"3,666"
1470,1324,"3,665"
1920,1528,"3,654"
1376,1376,"3,632"
1920,1646,"3,610"
1920,1256,"3,609"
1366,1093,"3,595"
1412,1412,"3,594"
1920,1514,"3,587"
1920,1642,"3,585"
1920,1438,"3,585"
1536,2029,"3,585"
1920,1352,"3,573"
1920,1500,"3,571"
1920,1683,"3,567"
1536,1467,"3,557"
1920,2484,"3,540"
1920,1441,"3,529"
1920,1866,"3,526"
2560,1024,"3,521"
1920,1463,"3,516"
1536,1514,"3,514"
1920,1864,"3,508"
1920,1450,"3,494"
1920,1776,"3,488"
1536,1431,"3,462"
1920,910,"3,449"
1920,1233,"3,434"
1920,1846,"3,432"
1920,1690,"3,430"
1920,1521,"3,424"
1920,1468,"3,407"
820,820,"3,402"
1920,1860,"3,401"
1920,1833,"3,399"
1093,1094,"3,399"
1280,1080,"3,398"
1280,1267,"3,398"
1920,1421,"3,387"
1920,1466,"3,370"
1368,1321,"3,369"
1920,1901,"3,360"
